timestamp,UTC time,accuracy,x,y,z
1647870345465,2022-03-21T13:45:45.465,unknown,0.866363525390625,-0.3868560791015625,0.0201263427734375
1647870345564,2022-03-21T13:45:45.564,unknown,0.810089111328125,-0.3535003662109375,-0.0621490478515625
1647870345664,2022-03-21T13:45:45.664,unknown,0.825286865234375,-0.398773193359375,-0.093536376953125
1647870345763,2022-03-21T13:45:45.763,unknown,0.9178619384765625,-0.4013671875,-0.1168975830078125
1647870345863,2022-03-21T13:45:45.863,unknown,0.885528564453125,-0.4446563720703125,-0.2597198486328125
1647870345963,2022-03-21T13:45:45.963,unknown,0.815032958984375,-0.3856048583984375,-0.2074432373046875
1647870346062,2022-03-21T13:45:46.062,unknown,0.7769317626953125,-0.11724853515625,-0.144256591796875
1647870346162,2022-03-21T13:45:46.162,unknown,1.189483642578125,-0.0729522705078125,-0.33746337890625
1647870346261,2022-03-21T13:45:46.261,unknown,0.8704986572265625,-0.470306396484375,-0.1564178466796875
1647870346361,2022-03-21T13:45:46.361,unknown,0.8507080078125,-0.3267669677734375,-0.0913543701171875
1647870346460,2022-03-21T13:45:46.460,unknown,0.9196014404296875,-0.2031402587890625,-0.0794525146484375
1647870346560,2022-03-21T13:45:46.560,unknown,1.006744384765625,-0.1110076904296875,-0.0287322998046875
1647870346660,2022-03-21T13:45:46.660,unknown,0.9997100830078125,-0.0834808349609375,-0.1182403564453125
1647870346759,2022-03-21T13:45:46.759,unknown,1.06280517578125,0.0074005126953125,-0.1348724365234375
1647870346859,2022-03-21T13:45:46.859,unknown,1.0691986083984375,0.14483642578125,-0.2046356201171875
1647870346958,2022-03-21T13:45:46.958,unknown,0.9666595458984375,0.3084716796875,-0.13330078125
1647870347058,2022-03-21T13:45:47.058,unknown,1.0582733154296875,0.30328369140625,-0.14642333984375
1647870347158,2022-03-21T13:45:47.158,unknown,0.980316162109375,0.4041900634765625,-0.113739013671875
1647870347257,2022-03-21T13:45:47.257,unknown,0.837310791015625,0.5130157470703125,-0.415740966796875
1647870347357,2022-03-21T13:45:47.357,unknown,0.7042999267578125,0.5009307861328125,-0.49578857421875
1647870347456,2022-03-21T13:45:47.456,unknown,0.8854522705078125,0.47882080078125,-0.281402587890625
1647870347556,2022-03-21T13:45:47.556,unknown,0.8501434326171875,0.454437255859375,-0.1948394775390625
1647870347656,2022-03-21T13:45:47.656,unknown,0.87017822265625,0.51153564453125,-0.1055450439453125
1647870347755,2022-03-21T13:45:47.755,unknown,0.8531646728515625,0.556243896484375,-0.2223968505859375
1647870347855,2022-03-21T13:45:47.855,unknown,0.839935302734375,0.476837158203125,-0.4155731201171875
1647870347954,2022-03-21T13:45:47.954,unknown,0.8269195556640625,0.43505859375,-0.2461700439453125
1647870348054,2022-03-21T13:45:48.054,unknown,0.8373870849609375,0.3210601806640625,-0.2599029541015625
1647870348153,2022-03-21T13:45:48.153,unknown,0.96484375,0.2942352294921875,-0.2122650146484375
1647870348253,2022-03-21T13:45:48.253,unknown,0.86285400390625,0.2513885498046875,-0.305572509765625
1647870348353,2022-03-21T13:45:48.353,unknown,0.92242431640625,0.339080810546875,-0.2999420166015625
1647870348452,2022-03-21T13:45:48.452,unknown,0.9051361083984375,0.365264892578125,-0.286651611328125
1647870348552,2022-03-21T13:45:48.552,unknown,0.9039764404296875,0.2582244873046875,-0.28668212890625
1647870348651,2022-03-21T13:45:48.651,unknown,0.9097900390625,0.32672119140625,-0.206146240234375
1647870348751,2022-03-21T13:45:48.751,unknown,0.985260009765625,0.270263671875,-0.26483154296875
1647870348851,2022-03-21T13:45:48.851,unknown,0.954071044921875,0.210052490234375,-0.3309783935546875
1647870348950,2022-03-21T13:45:48.950,unknown,0.9437713623046875,0.190704345703125,-0.163848876953125
1647870349050,2022-03-21T13:45:49.050,unknown,1.008331298828125,0.120635986328125,-0.1629486083984375
1647870349149,2022-03-21T13:45:49.149,unknown,0.9666748046875,0.181121826171875,-0.2044830322265625
1647870349249,2022-03-21T13:45:49.249,unknown,0.835693359375,0.2148895263671875,-0.3146209716796875
1647870349348,2022-03-21T13:45:49.348,unknown,0.8163299560546875,0.308013916015625,-0.3215484619140625
1647870349448,2022-03-21T13:45:49.448,unknown,0.6488494873046875,0.3340301513671875,-0.4392547607421875
1647870349548,2022-03-21T13:45:49.548,unknown,0.8587493896484375,0.7384796142578125,-0.458740234375
1647870349647,2022-03-21T13:45:49.647,unknown,1.1004486083984375,0.37469482421875,-0.450164794921875
1647870349747,2022-03-21T13:45:49.747,unknown,0.7593841552734375,0.6400604248046875,-0.2936553955078125
1647870349846,2022-03-21T13:45:49.846,unknown,0.7200927734375,0.6663360595703125,0.0433349609375
1647870349946,2022-03-21T13:45:49.946,unknown,0.6652679443359375,0.6595916748046875,-0.170166015625
1647870350046,2022-03-21T13:45:50.046,unknown,0.7943267822265625,0.594512939453125,-0.293731689453125
1647870350145,2022-03-21T13:45:50.145,unknown,1.1253204345703125,0.5631103515625,-0.34796142578125
1647870350245,2022-03-21T13:45:50.245,unknown,0.795166015625,0.5012664794921875,-0.0341644287109375
1647870350344,2022-03-21T13:45:50.344,unknown,0.965667724609375,0.547576904296875,-0.0498046875
1647870350444,2022-03-21T13:45:50.444,unknown,0.824371337890625,0.3414306640625,0.031951904296875
1647870350544,2022-03-21T13:45:50.544,unknown,0.787872314453125,0.2216339111328125,0.15838623046875
1647870350643,2022-03-21T13:45:50.643,unknown,0.958740234375,0.26312255859375,-0.093414306640625
1647870350743,2022-03-21T13:45:50.743,unknown,0.981414794921875,0.4004364013671875,-0.3650665283203125
1647870350842,2022-03-21T13:45:50.842,unknown,1.0879669189453125,0.65716552734375,-0.478302001953125
1647870350942,2022-03-21T13:45:50.942,unknown,0.9697723388671875,0.1216583251953125,-0.1149444580078125
1647870351041,2022-03-21T13:45:51.041,unknown,1.2847442626953125,0.3365020751953125,-0.5041046142578125
1647870351141,2022-03-21T13:45:51.141,unknown,0.5716094970703125,0.4303436279296875,0.5345458984375
1647870351241,2022-03-21T13:45:51.241,unknown,0.7761383056640625,0.2696685791015625,0.152618408203125
1647870351340,2022-03-21T13:45:51.340,unknown,1.02044677734375,0.3104095458984375,0.0913848876953125
1647870351440,2022-03-21T13:45:51.440,unknown,1.1461029052734375,0.401214599609375,0.20867919921875
1647870351539,2022-03-21T13:45:51.539,unknown,1.116729736328125,0.3564453125,0.383819580078125
1647870351639,2022-03-21T13:45:51.639,unknown,1.0684814453125,0.329986572265625,0.120086669921875
1647870351739,2022-03-21T13:45:51.739,unknown,1.016998291015625,0.093292236328125,0.17333984375
1647870351838,2022-03-21T13:45:51.838,unknown,0.8537139892578125,0.0717010498046875,0.233001708984375
1647870351938,2022-03-21T13:45:51.938,unknown,0.6093902587890625,0.0154876708984375,-0.4667205810546875
1647870352037,2022-03-21T13:45:52.037,unknown,0.817596435546875,-0.116302490234375,-1.175506591796875
1647870352137,2022-03-21T13:45:52.137,unknown,1.0239105224609375,-0.783660888671875,-0.07025146484375
1647870352236,2022-03-21T13:45:52.236,unknown,0.98895263671875,-0.22906494140625,0.1978912353515625
1647870352336,2022-03-21T13:45:52.336,unknown,0.83575439453125,-0.2381439208984375,0.053924560546875
1647870352436,2022-03-21T13:45:52.436,unknown,0.8221588134765625,-0.2776336669921875,-0.027374267578125
1647870352535,2022-03-21T13:45:52.535,unknown,0.6632537841796875,-0.2175445556640625,0.1118011474609375
1647870352635,2022-03-21T13:45:52.635,unknown,1.1614837646484375,0.083831787109375,0.4730072021484375
1647870352734,2022-03-21T13:45:52.734,unknown,1.1750946044921875,0.188720703125,0.474273681640625
1647870352834,2022-03-21T13:45:52.834,unknown,0.966827392578125,0.0675048828125,0.3024139404296875
1647870352934,2022-03-21T13:45:52.934,unknown,0.8729400634765625,0.2047271728515625,0.2054595947265625
1647870353033,2022-03-21T13:45:53.033,unknown,0.9168701171875,0.2601165771484375,-0.1186676025390625
1647870353133,2022-03-21T13:45:53.133,unknown,0.9156646728515625,0.172576904296875,0.1954498291015625
1647870353232,2022-03-21T13:45:53.232,unknown,1.2296600341796875,0.18096923828125,0.287353515625
1647870353332,2022-03-21T13:45:53.332,unknown,1.0962677001953125,0.5364837646484375,0.26861572265625
1647870353432,2022-03-21T13:45:53.432,unknown,1.0466766357421875,0.20184326171875,0.062591552734375
1647870353531,2022-03-21T13:45:53.531,unknown,0.8977813720703125,0.5203399658203125,0.227294921875
1647870353631,2022-03-21T13:45:53.631,unknown,0.9397125244140625,0.3146514892578125,-0.0668487548828125
1647870353730,2022-03-21T13:45:53.730,unknown,0.7860260009765625,0.385772705078125,-0.0435333251953125
1647870353830,2022-03-21T13:45:53.830,unknown,0.9011688232421875,0.45953369140625,-0.007965087890625
1647870353929,2022-03-21T13:45:53.929,unknown,1.005126953125,0.3912353515625,0.1916961669921875
1647870354029,2022-03-21T13:45:54.029,unknown,1.102752685546875,0.53607177734375,0.21044921875
1647870354129,2022-03-21T13:45:54.129,unknown,0.927642822265625,0.0282745361328125,0.5298004150390625
