time_window_start,mean_mag,std_mag,max_mag,activity_label
2022-03-21 13:45:00,1.0384791347170417,0.16241862263172188,1.548306623888651,walking
2022-03-21 13:46:00,1.0137327848387085,0.12740054899070014,2.380098395597401,running
2022-03-21 13:47:00,1.006140686421868,0.0021601766836178414,1.010722444060437,resting
2022-03-21 13:48:00,1.0004455633971887,0.05041814968827692,1.556675707210555,walking
2022-03-21 13:49:00,0.9962090993797732,0.002336098125904913,1.0012998564760085,resting
2022-03-21 13:50:00,0.9962372933460306,0.0035033630521578685,1.0180361795855253,resting
2022-03-21 13:51:00,0.995959155054581,0.0023650843008042577,1.0009323256882456,resting
2022-03-21 13:52:00,0.9960311237435514,0.0023266537498455547,1.0028068597039619,resting
2022-03-21 13:53:00,0.9958546414211031,0.0021210332135928028,0.9998348937275404,resting
2022-03-21 13:54:00,0.9958672407047355,0.002610058733406751,1.0074956292046577,resting
2022-03-21 13:55:00,0.9959691855909114,0.0024139179806719384,1.0046647312960753,resting
2022-03-21 13:56:00,0.9958492693201114,0.002519929097278105,1.0032655188266675,resting
2022-03-21 13:57:00,0.9958805680697398,0.002022920603128487,0.9994674933963658,resting
2022-03-21 13:58:00,0.9959017434211078,0.002722372973265883,1.010703422544758,resting
2022-03-21 13:59:00,0.9958463052845679,0.0023828412205091475,1.0004984972419653,resting
