datetime,mean_gyro,std_gyro,max_gyro,rotation_label
2022-03-21 01:31:07,0.6629114226891251,0.24273693229939344,1.04690874069396,phone_handling
2022-03-21 01:31:08,0.3051982742195839,0.178470967668538,0.6515084616189376,slight_rotation
2022-03-21 01:31:09,0.6479667691079993,0.42192968904933825,1.5442615487321123,phone_handling
2022-03-21 01:31:10,0.28425977775745903,0.2121404378092115,0.7998186126099122,slight_rotation
2022-03-21 01:31:11,0.32089149532946726,0.2077877033092482,0.6833122458894633,slight_rotation
2022-03-21 01:31:12,0.20357580357173136,0.12726000674435728,0.48179707848143155,slight_rotation
2022-03-21 01:31:13,0.44335093448452556,0.9263219852968692,3.0677894873402813,high_rotation
2022-03-21 01:31:14,0.6239654546725515,0.5740326287543452,2.148465744943538,high_rotation
2022-03-21 01:31:15,1.5659246059812841,0.7783030437198157,2.760207571996228,high_rotation
2022-03-21 01:31:16,0.21659839708226256,0.2947283974605429,0.7981858558538568,slight_rotation
2022-03-21 01:31:17,1.6467026375876883,0.9691641005913845,2.6616945359322863,high_rotation
2022-03-21 01:31:18,1.419690431237798,1.0521274579976545,2.8768862986533223,high_rotation
