timestamp,activity_inference,user_id
1364356801,0,0
1364356804,0,0
1364356807,0,0
1364356809,0,0
1364356992,0,0
1364356995,0,0
1364356997,0,0
1364357000,0,0
1364357002,0,0
1364357005,0,0
1364357008,0,0
1364357010,0,0
1364357013,0,0
1364357015,0,0
1364357018,0,0
1364357020,0,0
1364357023,0,0
1364357026,0,0
1364357028,0,0
1364357031,0,0
1364357033,0,0
1364357036,0,0
1364357039,0,0
1364357041,0,0
1364357044,0,0
1364357046,0,0
1364357049,0,0
1364357232,0,0
1364357234,0,0
1364357237,0,0
1364357240,0,0
1364357242,0,0
1364357245,0,0
1364357247,0,0
1364357250,0,0
1364357252,0,0
1364357255,0,0
1364357258,0,0
1364357260,0,0
1364357263,0,0
1364357265,0,0
1364357268,0,0
1364357270,0,0
1364357273,0,0
1364357276,0,0
1364357278,0,0
1364357281,0,0
1364357283,0,0
1364357286,0,0
1364357289,0,0
1364357472,0,0
1364357474,0,0
1364357477,0,0
1364357479,0,0
1364357482,0,0
1364357484,0,0
1364357487,0,0
1364357490,0,0
1364357492,0,0
1364357495,0,0
1364357497,0,0
1364357500,0,0
1364357502,0,0
1364357505,0,0
1364357508,0,0
1364357510,0,0
1364357513,0,0
1364357515,0,0
1364357518,0,0
1364357520,0,0
1364357528,0,0
1364357531,0,0
1364357716,0,0
1364357719,0,0
1364357722,0,0
1364357724,0,0
1364357727,0,0
1364357729,0,0
1364357732,0,0
1364357734,0,0
1364357737,0,0
1364357740,0,0
1364357742,0,0
1364357745,0,0
1364357748,0,0
1364357750,0,0
1364357753,0,0
1364357755,0,0
1364357758,0,0
1364357760,0,0
1364357763,0,0
1364357766,0,0
1364357768,0,0
1364357771,0,0
1364357954,0,0
1364357956,0,0
1364357964,0,0
1364357967,0,0
1364357969,0,0
1364357972,0,0
1364357974,0,0
1364357977,0,0
1364357980,0,0
1364357990,0,0
1364357993,0,0
1364357995,0,0
1364357998,0,0
1364358000,0,0
1364358003,0,0
1364358005,0,0
1364358008,0,0
1364358011,0,0
1364358192,0,0
1364358194,0,0
1364358197,0,0
1364358199,0,0
1364358202,0,0
1364358205,0,0
1364358207,0,0
1364358210,0,0
1364358212,0,0
1364358215,0,0
1364358217,0,0
1364358220,0,0
1364358223,0,0
1364358225,0,0
1364358228,0,0
1364358230,0,0
1364358233,0,0
1364358236,0,0
1364358238,0,0
1364358241,0,0
1364358243,0,0
1364358246,0,0
1364358248,0,0
1364358251,0,0
1364358434,0,0
1364358437,0,0
1364358439,0,0
1364358442,0,0
1364358444,0,0
1364358447,0,0
1364358449,0,0
1364358452,0,0
1364358455,0,0
